id	label	repo_name	git_ref	branch	run_tag_default	status	notes
baseline	BRT baseline (TopoEncoder)	BRT	ad21473	main	baseline	active	Fusion360 seg ~iou 74.5 / acc 93.6; mechcad seg acc ~74.8
scheme-a-v1	Scheme A v1 — empirical Boundary MP (archived)	BRT	4228e4d	scheme-a-boundary-mp	schemea	archived	Fusion360 seg iou 74.5→78.2; mechcad seg acc 74.8→75.2; see docs/schemes/scheme-a-v1-archive.md
scheme-a2-wip	Scheme A2 — signed coedge boundary (no avg)	BRT	bb14b54	scheme-a-boundary-mp	schemea2	wip	A2 vs A1; see docs/schemes/scheme-a2.md
scheme-b-wip	Scheme B — Hodge block (WIP)	BRT	265da2b	scheme-b-hodge-block	schemeb	wip	not validated
